Fecha,Apertura,Máximo,Mínimo,Cierre,Vol.,% var.
04/01/2010,"32,120.74","32,758.53","32,120.74","32,758.53",136.26M,1.99%
05/01/2010,"32,729.30","33,073.71","32,628.24","32,732.76",165.54M,-0.08%
06/01/2010,"32,730.42","32,922.12","32,639.44","32,830.16",126.00M,0.30%
07/01/2010,"32,830.22","33,069.78","32,670.98","33,064.57",123.56M,0.71%
08/01/2010,"33,067.57","33,080.05","32,779.66","32,892.04",109.52M,-0.52%
11/01/2010,"32,892.11","33,047.23","32,711.04","32,935.38",150.33M,0.13%
12/01/2010,"32,950.34","32,976.61","32,719.62","32,792.66",139.21M,-0.43%
13/01/2010,"32,792.87","32,929.32","32,607.94","32,836.08",143.68M,0.13%
14/01/2010,"32,843.56","32,847.93","32,429.67","32,729.58",447.96M,-0.32%
15/01/2010,"32,725.41","32,728.41","32,262.10","32,262.30",318.27M,-1.43%
18/01/2010,"32,262.53","32,491.48","32,262.53","32,482.73",32.11M,0.68%
19/01/2010,"32,493.36","32,618.01","32,367.86","32,473.05",213.26M,-0.03%
20/01/2010,"32,466.04","32,466.04","31,946.77","32,025.34",215.33M,-1.38%
21/01/2010,"32,033.85","32,151.80","31,181.72","31,205.30",243.33M,-2.56%
22/01/2010,"31,203.10","31,212.55","30,612.06","30,830.91",210.23M,-1.20%
25/01/2010,"30,831.40","31,080.98","30,465.06","30,465.06",196.96M,-1.19%
26/01/2010,"30,461.86","30,764.76","30,209.09","30,651.56",183.14M,0.61%
27/01/2010,"30,629.79","30,677.04","30,082.77","30,610.83",306.31M,-0.13%
28/01/2010,"30,620.59","30,926.05","30,334.67","30,811.35",202.37M,0.66%
29/01/2010,"30,811.47","31,002.79","30,343.05","30,391.61",241.67M,-1.36%
02/02/2010,"30,416.64","30,922.03","30,416.64","30,876.65",183.85M,1.60%
03/02/2010,"30,869.99","31,396.90","30,763.64","31,287.04",212.36M,1.33%
04/02/2010,"31,285.53","31,285.53","30,530.41","30,603.71",182.90M,-2.18%
05/02/2010,"30,603.88","30,630.73","29,926.06","30,630.73",202.08M,0.09%
08/02/2010,"30,633.38","30,778.02","30,528.96","30,649.44",147.96M,0.06%
09/02/2010,"30,649.55","30,998.18","30,649.55","30,818.48",184.95M,0.55%
10/02/2010,"30,836.61","30,897.95","30,460.30","30,746.05",157.16M,-0.24%
11/02/2010,"30,746.54","30,994.34","30,686.83","30,845.63",144.84M,0.32%
12/02/2010,"30,845.75","31,005.74","30,641.04","31,005.74",125.68M,0.52%
15/02/2010,"31,006.54","31,120.72","30,896.11","31,038.32",33.73M,0.11%
16/02/2010,"31,071.64","31,644.77","31,071.64","31,644.77",167.79M,1.95%
17/02/2010,"31,644.91","31,892.12","31,641.19","31,892.12",163.98M,0.78%
18/02/2010,"31,889.07","32,216.94","31,695.63","32,170.79",193.73M,0.87%
19/02/2010,"32,160.22","32,283.14","31,890.73","32,172.11",198.99M,0.00%
22/02/2010,"32,172.22","32,272.16","32,023.54","32,034.34",183.65M,-0.43%
23/02/2010,"32,020.95","32,020.95","31,598.06","31,850.24",156.65M,-0.57%
24/02/2010,"31,850.79","31,990.36","31,777.49","31,788.54",141.24M,-0.19%
25/02/2010,"31,777.38","31,777.38","31,396.78","31,649.10",124.76M,-0.44%
26/02/2010,"31,682.98","31,866.43","31,548.40","31,634.54",190.96M,-0.05%
01/03/2010,"31,637.89","31,888.30","31,637.89","31,765.14",147.75M,0.41%
02/03/2010,"31,765.33","32,148.92","31,763.45","32,055.04",156.41M,0.91%
03/03/2010,"32,055.12","32,431.21","31,998.12","32,353.54",205.11M,0.93%
04/03/2010,"32,353.85","32,508.27","32,085.06","32,202.00",137.55M,-0.47%
05/03/2010,"32,208.99","32,529.60","32,208.99","32,436.53",153.27M,0.73%
08/03/2010,"32,415.15","32,535.96","32,399.11","32,520.27",154.43M,0.26%
09/03/2010,"32,520.65","32,631.01","32,419.17","32,514.17",161.54M,-0.02%
10/03/2010,"32,514.33","32,718.40","32,500.93","32,505.76",171.74M,-0.03%
11/03/2010,"32,506.34","32,631.06","32,353.92","32,602.94",126.74M,0.30%
12/03/2010,"32,598.28","32,725.26","32,521.36","32,578.05",102.69M,-0.08%
16/03/2010,"32,581.90","32,774.33","32,503.34","32,723.90",137.76M,0.45%
17/03/2010,"32,724.20","33,000.00","32,723.59","32,798.30",207.37M,0.23%
18/03/2010,"32,800.10","32,977.35","32,634.55","32,969.83",198.76M,0.52%
19/03/2010,"32,968.89","33,025.83","32,780.29","33,022.84",254.17M,0.16%
22/03/2010,"33,022.70","33,193.84","32,876.72","33,142.02",156.85M,0.36%
23/03/2010,"33,142.73","33,410.24","33,122.07","33,361.27",181.16M,0.66%
24/03/2010,"33,361.34","33,474.90","33,159.52","33,160.97",199.66M,-0.60%
25/03/2010,"33,156.88","33,366.36","33,125.23","33,164.33",168.44M,0.01%
26/03/2010,"33,165.43","33,336.80","33,082.59","33,147.81",151.33M,-0.05%
29/03/2010,"33,147.04","33,448.48","33,144.70","33,416.10",124.01M,0.81%
30/03/2010,"33,420.76","33,589.09","33,288.95","33,399.46",139.17M,-0.05%
31/03/2010,"33,399.87","33,429.67","33,214.47","33,266.43",239.51M,-0.40%
05/04/2010,"33,267.47","33,779.35","33,266.67","33,648.89",223.00M,1.15%
06/04/2010,"33,649.94","33,821.72","33,611.67","33,801.21",162.05M,0.45%
07/04/2010,"33,801.29","33,802.59","33,589.38","33,632.35",208.56M,-0.50%
08/04/2010,"33,630.84","33,667.25","33,314.93","33,567.35",190.74M,-0.19%
09/04/2010,"33,569.58","33,841.07","33,524.42","33,840.85",137.22M,0.81%
12/04/2010,"33,831.92","33,925.05","33,681.23","33,852.39",94.53M,0.03%
13/04/2010,"33,805.23","33,877.80","33,727.20","33,819.04",138.26M,-0.10%
14/04/2010,"33,822.03","34,113.96","33,822.03","34,113.93",213.72M,0.87%
15/04/2010,"34,108.69","34,223.87","34,003.96","34,134.23",145.62M,0.06%
16/04/2010,"34,162.67","34,163.27","33,484.34","33,621.39",201.06M,-1.50%
19/04/2010,"33,588.65","33,700.34","33,212.35","33,439.77",138.27M,-0.54%
20/04/2010,"33,439.02","33,823.38","33,439.02","33,813.16",140.80M,1.12%
21/04/2010,"33,814.58","33,822.32","33,480.85","33,517.18",153.20M,-0.88%
22/04/2010,"33,509.70","33,674.22","33,210.08","33,658.37",210.84M,0.42%
23/04/2010,"33,676.23","33,954.09","33,617.69","33,853.69",234.71M,0.58%
26/04/2010,"33,856.38","33,999.92","33,746.93","33,771.55",186.46M,-0.24%
27/04/2010,"33,722.51","33,722.51","32,679.36","32,679.36",236.78M,-3.23%
28/04/2010,"32,679.17","32,955.08","32,385.09","32,952.86",218.79M,0.84%
29/04/2010,"32,953.77","33,228.02","32,850.20","32,861.00",215.59M,-0.28%
30/04/2010,"32,861.16","33,246.25","32,653.80","32,687.32",287.81M,-0.53%
03/05/2010,"32,692.67","32,974.68","32,525.39","32,832.45",186.30M,0.44%
04/05/2010,"32,803.90","32,809.56","31,913.42","32,120.65",269.13M,-2.17%
05/05/2010,"32,112.90","32,258.30","31,574.53","31,995.28",239.90M,-0.39%
06/05/2010,"31,997.98","32,258.06","30,649.66","31,398.97",287.19M,-1.86%
07/05/2010,"31,404.13","31,602.19","30,981.21","31,488.82",246.34M,0.29%
10/05/2010,"31,538.48","32,696.49","31,538.48","32,276.92",215.50M,2.50%
11/05/2010,"32,277.11","32,360.51","32,038.85","32,119.11",189.25M,-0.49%
12/05/2010,"32,140.63","32,395.65","32,140.63","32,379.63",205.18M,0.81%
13/05/2010,"32,381.03","32,493.73","32,263.58","32,342.43",124.89M,-0.11%
14/05/2010,"32,339.58","32,339.58","31,721.53","31,812.73",141.70M,-1.64%
17/05/2010,"31,804.03","31,947.43","31,338.87","31,580.63",155.42M,-0.73%
18/05/2010,"31,580.49","31,919.14","31,136.35","31,136.35",157.10M,-1.41%
19/05/2010,"31,136.15","31,142.50","30,834.62","30,992.76",229.16M,-0.46%
20/05/2010,"30,976.86","30,976.86","30,255.36","30,368.08",277.58M,-2.02%
21/05/2010,"30,376.64","30,809.47","30,074.06","30,629.15",255.53M,0.86%
24/05/2010,"30,629.18","30,938.15","30,563.51","30,759.48",136.20M,0.43%
25/05/2010,"30,756.75","30,756.75","30,102.09","30,634.17",318.17M,-0.41%
26/05/2010,"30,667.73","31,478.19","30,667.73","31,328.49",325.02M,2.27%
27/05/2010,"31,329.13","32,056.35","31,329.13","32,056.16",259.21M,2.32%
28/05/2010,"32,056.11","32,071.92","31,419.28","31,547.55",201.03M,-1.59%
31/05/2010,"31,547.33","32,126.22","31,547.33","32,038.53",216.50M,1.56%
01/06/2010,"31,988.63","31,988.63","31,245.29","31,245.83",251.25M,-2.47%
02/06/2010,"31,245.92","31,544.66","31,227.83","31,411.91",175.99M,0.53%
03/06/2010,"31,420.70","31,667.82","31,240.90","31,331.86",153.01M,-0.25%
04/06/2010,"31,312.23","31,312.23","30,973.03","30,992.65",159.17M,-1.08%
07/06/2010,"31,014.99","31,137.61","30,690.54","30,739.01",101.90M,-0.82%
08/06/2010,"30,739.31","31,073.97","30,739.31","31,059.83",152.76M,1.04%
09/06/2010,"31,060.56","31,508.63","31,060.56","31,209.33",170.44M,0.48%
10/06/2010,"31,231.96","31,916.55","31,231.96","31,910.22",223.47M,2.25%
11/06/2010,"31,904.37","32,246.89","31,670.28","32,124.28",152.37M,0.67%
14/06/2010,"32,129.95","32,511.65","32,129.95","32,238.41",145.98M,0.36%
15/06/2010,"32,238.97","32,749.09","32,238.97","32,685.40",179.97M,1.39%
16/06/2010,"32,669.69","32,870.28","32,596.90","32,805.63",142.01M,0.37%
17/06/2010,"32,804.06","32,854.76","32,630.33","32,775.34",134.99M,-0.09%
18/06/2010,"32,771.49","32,946.89","32,629.91","32,814.62",165.01M,0.12%
21/06/2010,"32,816.50","33,290.91","32,816.50","32,882.00",122.78M,0.21%
22/06/2010,"32,878.58","32,984.91","32,470.70","32,470.70",124.24M,-1.25%
23/06/2010,"32,470.77","32,663.29","32,180.32","32,663.29",158.77M,0.59%
24/06/2010,"32,663.01","32,663.01","32,276.70","32,312.76",119.41M,-1.07%
25/06/2010,"32,310.04","32,659.57","32,254.44","32,607.13",119.35M,0.91%
28/06/2010,"32,609.99","32,693.03","32,417.81","32,568.19",106.39M,-0.12%
29/06/2010,"32,535.52","32,535.52","31,440.28","31,473.20",202.15M,-3.36%
30/06/2010,"31,490.33","31,793.68","31,151.10","31,156.97",363.22M,-1.00%
01/07/2010,"31,153.52","31,261.17","30,542.53","31,197.04",246.70M,0.13%
02/07/2010,"31,212.75","31,435.52","31,075.13","31,379.67",126.02M,0.59%
05/07/2010,"31,453.31","31,477.52","31,336.31","31,391.45",15.29M,0.04%
06/07/2010,"31,396.21","31,989.80","31,343.01","31,533.58",158.45M,0.45%
07/07/2010,"31,519.81","32,042.23","31,502.83","32,035.19",149.32M,1.59%
08/07/2010,"32,035.17","32,171.57","31,733.61","31,960.64",141.51M,-0.23%
09/07/2010,"31,961.22","32,107.56","31,784.07","32,004.31",104.12M,0.14%
12/07/2010,"32,037.44","32,116.41","31,788.23","31,870.55",84.43M,-0.42%
13/07/2010,"31,871.56","32,251.05","31,871.56","32,185.20",143.62M,0.99%
14/07/2010,"32,185.40","32,385.01","32,101.49","32,305.71",143.23M,0.37%
15/07/2010,"32,305.30","32,387.17","32,114.61","32,381.06",120.08M,0.23%
16/07/2010,"32,382.49","32,383.75","31,736.13","31,783.39",122.75M,-1.85%
19/07/2010,"31,803.82","32,005.67","31,785.22","31,845.88",85.02M,0.20%
20/07/2010,"31,843.34","32,025.18","31,613.55","32,024.27",109.34M,0.56%
21/07/2010,"32,024.62","32,318.33","32,001.95","32,108.99",151.88M,0.26%
22/07/2010,"32,135.19","32,720.76","32,135.19","32,720.76",166.47M,1.91%
23/07/2010,"32,721.02","32,818.48","32,510.49","32,806.03",164.28M,0.26%
26/07/2010,"32,814.98","33,041.38","32,803.62","32,958.89",146.62M,0.47%
27/07/2010,"32,959.89","33,043.57","32,643.20","32,695.31",170.67M,-0.80%
28/07/2010,"32,694.64","32,744.62","32,500.03","32,665.56",177.61M,-0.09%
29/07/2010,"32,666.16","32,802.30","32,408.12","32,463.72",178.38M,-0.62%
30/07/2010,"32,450.46","32,454.93","32,198.34","32,308.74",342.78M,-0.48%
02/08/2010,"32,308.88","32,819.73","32,308.88","32,816.52",205.93M,1.57%
03/08/2010,"32,808.81","32,862.06","32,613.65","32,768.08",143.96M,-0.15%
04/08/2010,"32,767.22","32,975.68","32,749.11","32,900.48",145.00M,0.40%
05/08/2010,"32,900.19","32,961.92","32,793.64","32,907.19",132.09M,0.02%
06/08/2010,"32,900.48","32,956.62","32,753.30","32,917.92",129.10M,0.03%
09/08/2010,"32,918.36","33,022.09","32,802.51","32,837.57",101.04M,-0.24%
10/08/2010,"32,837.32","32,837.32","32,518.70","32,685.52",149.40M,-0.46%
11/08/2010,"32,684.87","32,684.87","32,055.35","32,058.57",162.20M,-1.92%
12/08/2010,"32,058.04","32,106.98","31,830.65","32,041.13",132.26M,-0.05%
13/08/2010,"32,044.75","32,154.22","32,025.63","32,099.75",98.49M,0.18%
16/08/2010,"32,091.70","32,135.55","31,785.06","32,119.88",101.14M,0.06%
17/08/2010,"32,122.39","32,435.11","32,119.10","32,286.08",149.56M,0.52%
18/08/2010,"32,288.04","32,414.63","32,164.24","32,408.30",165.01M,0.38%
